ID_Objeto;Area;Perimetro;Rho;Clasificacion
1;17788.0;538.43;0.7711;Dado
2;23294.5;574.13;0.8881;Moneda Grande
3;14671.0;447.09;0.9223;Moneda Chica
4;15189.5;456.32;0.9167;Moneda Chica
5;20912.0;545.0;0.8847;Moneda Mediana
6;20477.5;533.21;0.9051;Moneda Mediana
7;14312.0;435.67;0.9475;Moneda Chica
8;24406.0;578.07;0.9178;Moneda Grande
9;14947.0;490.68;0.7801;Dado
10;21425.5;533.17;0.9471;Moneda Mediana
11;14804.0;452.39;0.909;Moneda Chica
12;14673.0;456.81;0.8836;Moneda Chica
13;23574.0;577.42;0.8885;Moneda Grande
14;14823.5;450.17;0.9192;Moneda Chica
15;15274.0;457.04;0.9189;Moneda Chica
16;14759.0;442.46;0.9474;Moneda Chica
17;14055.0;439.73;0.9134;Moneda Chica
18;19449.5;525.86;0.8839;Moneda Mediana
19;21600.5;535.31;0.9472;Moneda Mediana
